,coarse,fine,english,indo
157,DESC,manner,How is the element strontium purified ?,Bagaimana elemen strontium dimurnikan?
158,DESC,manner,How can you be happy ?,Bagaimana kamu bisa bahagia?
159,DESC,manner,How can I find a phone number of someone if I only know their email address ?,Bagaimana saya bisa menemukan nomor telepon seseorang jika saya hanya tahu alamat emailnya?
160,DESC,manner,How do you reference a website ?,Bagaimana Anda mereferensikan situs web?
161,DESC,manner,How do you clean up a cache ?,Bagaimana Anda membersihkan cache?
162,DESC,manner,How you can raise your IQ ?,Bagaimana Anda bisa meningkatkan IQ Anda?
163,DESC,manner,How can anyone tell if a female had sexual intercourse ?,Bagaimana orang bisa tahu jika seorang wanita melakukan hubungan seksual?
164,DESC,manner,How do I get another city 's newspaper ?,Bagaimana saya mendapatkan koran kota lain?
165,DESC,manner,How is the election of a new Pope announced to the world ?,Bagaimana pemilihan Paus baru diumumkan ke dunia?
166,NUM,money,How much was the minimum wage in 1991 ?,Berapa upah minimum pada tahun 1991?
167,NUM,money,What is the exchange rate between England and the U.S. ?,Berapa nilai tukar antara Inggris dan AS?
168,NUM,money,How much could you rent a Volkswagen bug for in 1966 ?,Berapa harga sewa bug Volkswagen pada tahun 1966?
169,NUM,money,How much can a person be fined for having a dog on a beach ?,Berapa banyak yang dapat didenda karena memiliki anjing di pantai?
170,NUM,money,How much do drugs to treat tuberculosis cost ?,Berapa harga obat untuk mengobati TBC?
171,LOC,mount,What mountain range extends from the Gulf of St. Lawrence to Alabama ?,Pegunungan apa yang membentang dari Teluk St. Lawrence ke Alabama?
172,LOC,mount,What mountains lie between the Arkansas and Missouri rivers ?,Gunung apa yang terletak di antara sungai Arkansas dan Missouri?
173,LOC,mount,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,Apa punggungan Rocky Mountain memisahkan sungai-sungai Amerika Utara yang mengalir ke timur dan ke barat?
174,NUM,ord,Where does the U.S. rank among world countries in area ?,Berapa peringkat AS di antara negara-negara dunia dalam bidang ini?
175,ENTY,other,What is the lowest level of the American judiciary ?,Apa tingkat terendah peradilan Amerika?
176,ENTY,other,What does it take to become a lawyer ?,Apa yang diperlukan untuk menjadi pengacara?
177,ENTY,other,What were first used by John L. Sullivan and James J. Corbett in 1892 ?,Apa yang pertama kali digunakan oleh John L. Sullivan dan James J. Corbett pada tahun 1892?
178,ENTY,other,What must be exceeded to produce a sonic boom ?,Apa yang harus dilampaui untuk menghasilkan ledakan sonik?
179,ENTY,other,What did Esquire name Ash Hole of the Year for 1980 ?,Apa nama Esquire Ash Hole of the Year untuk 1980?
180,ENTY,other,What turns blue litmus paper red ?,Apa yang mengubah kertas lakmus biru menjadi merah?
181,ENTY,other,What does a heliologist study ?,Apa yang dipelajari oleh seorang heliologis?
182,LOC,other,"Where was the Ligurian Republic , 1797-185 , ?","Di mana Republik Liguria, 1797-185,?"
183,LOC,other,Where can I find a person 's address from a telephone number ?,Di mana saya dapat menemukan alamat seseorang dari nomor telepon?
184,LOC,other,Where is Procter & Gamble based in the U.S. ?,Di mana Procter & Gamble berbasis di AS?
185,LOC,other,Where is the Abominable Snowman said to wander ?,Di mana Snowman yang keji itu dikatakan berkeliaran?
186,LOC,other,Where did Woodstock take place ?,Di mana Woodstock berlangsung?
187,LOC,other,Where does the Santa Fe Trail begin and end ?,Di mana jejak Santa Fe dimulai dan berakhir?
188,LOC,other,What stadium do the Miami Dolphins play their home games in ?,Di stadium apa Miami Dolphins memainkan pertandingan kandang mereka?
189,LOC,other,What is the deepest area of the Arctic Ocean ?,Apa area terdalam Samudra Arktik?
190,LOC,other,What is the best hospital for orthopedics in the country ?,Apa rumah sakit terbaik untuk ortopedi di negara ini?
191,LOC,other,Where can I find a review of Nightmare on Elm Street in a film journal ?,Di mana saya dapat menemukan ulasan Nightmare on Elm Street dalam jurnal film?
192,LOC,other,What 's the name of the temple that is located near the capital city of Laos ?,Apa nama candi yang terletak di dekat ibu kota Laos?
193,LOC,other,What attracts tourists to Reims ?,Apa yang menarik wisatawan ke Reims?
194,LOC,other,Where 's the 19th hole on a golf course ?,Di mana lubang ke 19 di lapangan golf?
195,LOC,other,Where are the 49 steps ?,Di mana 49 langkah itu?
196,LOC,other,What are the world 's four oceans ?,Apa empat samudera di dunia?
197,LOC,other,Where is Tornado Alley ?,Di mana Tornado Alley?
198,LOC,other,Where is Basque country located ?,Di mana negara Basque berada?
199,LOC,other,Where does chocolate come from ?,Dari mana datangnya cokelat?
200,LOC,other,Where can I get mailing lists ?,Di mana saya bisa mendapatkan milis?
201,LOC,other,Where can I find the best free evidence for debate about Russia ?,Di mana saya dapat menemukan bukti gratis terbaik untuk debat tentang Rusia?
202,LOC,other,What is the longest place name in the U.S. ?,Apa nama tempat terpanjang di AS?
203,NUM,other,What is the average hourly rate of American workers ?,Berapa tingkat rata-rata pekerja Amerika per jam?
204,NUM,other,What was Einstein 's IQ ?,Berapa IQ Einstein?
205,NUM,other,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,Berapa jumlah tentara Amerika yang belum diketahui akibat perang Vietnam?
206,NUM,perc,What is the Pennsylvania state income tax rate ?,Berapa tarif pajak penghasilan negara bagian Pennsylvania?
207,NUM,perc,What are the odds of giving birth to twins ?,Apa peluang melahirkan anak kembar?
208,NUM,perc,What percent liked Thatcher after she had been in power for a decade ?,Berapa persen yang menyukai Thatcher setelah ia berkuasa selama satu dekade?
209,NUM,period,How long does it take for your body to restore blood after you donate your blood ?,Berapa lama bagi tubuh Anda untuk memulihkan darah setelah Anda menyumbangkan darah Anda?
210,NUM,period,What is the average time it takes for a male to ejaculate ?,Berapa lama rata-rata yang dibutuhkan seorang pria untuk berejakulasi?
211,NUM,period,How long after intercourse does it take to find out if you are pregnant ?,Berapa lama setelah melakukan hubungan seks untuk mengetahui apakah Anda hamil?
212,NUM,period,How old is the Italian artist Maurizio Pellegrin ?,Berapa umur artis Italia Maurizio Pellegrin?
213,ENTY,plant,What is state tree of Nebraska ?,Apa pohon negara Nebraska?
214,ENTY,plant,What are some of Australia 's native flora ?,Apa saja flora asli Australia?
215,ENTY,product,What kind of hat does Bat Masterson wear ?,Topi seperti apa yang dikenakan Bat Masterson?
216,ENTY,product,What was the name of the computer in ` 2001 : A Space Odyssey ' ?,Apa nama komputer di `2001: A Space Odyssey '?
217,ENTY,product,"What product 's ads claim that it  eliminates odors , kills household germs , mold , and mildew  ?","Iklan produk apa yang mengklaim menghilangkan bau, membunuh kuman, jamur, dan jamur rumah tangga?"
218,ENTY,product,What toy can you make sleep ?,Mainan apa yang bisa membuatmu tidur?
219,DESC,reason,What were the causes of the Civil War ?,Apa penyebab Perang Saudara?
220,DESC,reason,Why do some people have two different color eyes ?,Mengapa beberapa orang memiliki dua mata warna yang berbeda?
221,DESC,reason,"What was the claim to fame of Explorer I , launched February 1 , 1958 ?","Apa klaim ketenaran dari Explorer I, yang diluncurkan 1 Februari 1958?"
222,DESC,reason,What made Jane Goodall famous ?,Apa yang membuat Jane Goodall terkenal?
223,DESC,reason,Why can 't ostriches fly ?,Mengapa burung unta tidak bisa terbang?
224,DESC,reason,Why are there 12 people on a jury in criminal cases ?,Mengapa ada 12 orang yang menjadi juri dalam kasus kriminal?
225,DESC,reason,What causes a person to have constantly sweaty hands and feet ?,Apa yang menyebabkan seseorang memiliki tangan dan kaki yang selalu berkeringat?
226,DESC,reason,What causes tuberculosis ?,Apa yang menyebabkan TBC?
227,DESC,reason,Why do horseshoes bring luck ?,Mengapa sepatu kuda membawa keberuntungan?
228,DESC,reason,Why is Microsoft 's Windows 3 software so successful ?,Mengapa perangkat lunak Microsoft Windows 3 begitu sukses?
229,DESC,reason,What makes you fat ?,Apa yang membuatmu gemuk?
230,ENTY,religion,What two major world religions began in India ?,Dua agama besar dunia apa yang dimulai di India?
231,NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
232,NUM,speed,How fast can a Corvette go ?,Seberapa cepat Corvette dapat beroperasi?
233,ENTY,sport,What is the name of the game that Garry Kasparov plays ?,Apa nama permainan yang dimainkan Garry Kasparov?
234,ENTY,sport,What international amateur sports spectacle was first telecast in 1956 ?,Apa tontonan olahraga amatir internasional yang ditayangkan pertama kali pada tahun 1956?
235,ENTY,sport,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,Apa permainan yang dimainkan Steve McQueen dan Edward G. Robinson di The Cincinnati Kid?
236,ENTY,sport,Garry Kasparov plays what game ?,Garry Kasparov memainkan game apa?
237,LOC,state,What state 's home to the Buffalo Bill Historical Center ?,Negara bagian mana yang menjadi pusat Pusat Sejarah Buffalo Bill?
238,LOC,state,What states do not have state income tax ?,Negara mana yang tidak memiliki pajak penghasilan negara?
239,LOC,state,What U.S. state ends with a G ?,Apa negara bagian AS berakhir dengan G?
240,ENTY,substance,What harmful chemicals are in bug spray ?,Bahan kimia berbahaya apa yang ada dalam semprotan serangga?
241,ENTY,substance,What 's the second-lightest element ?,Apa elemen teringan kedua?
242,ENTY,substance,"What molecules include fluorine , sodium and magnesium ?","Molekul apa yang termasuk fluor, natrium dan magnesium?"
243,ENTY,substance,What 's the world 's most common compound ?,Apa senyawa paling umum di dunia?
244,ENTY,symbol,What is the trademark of a Washington Redskin 's fan ?,Apa merek dagang dari penggemar Washington Redskin?
245,ENTY,symbol,What was the distinguishing mark on the  Little Rascals  dog ?,Apa tanda yang membedakan pada anjing Little Rascals?
246,ENTY,techmeth,What are the various ways in which one can measure IT User Satisfaction Level ?,Apa saja cara di mana seseorang dapat mengukur Tingkat Kepuasan Pengguna TI?
247,ENTY,techmeth,Name a technique widely used to detect birth defects ?,Sebutkan teknik yang banyak digunakan untuk mendeteksi cacat lahir?
248,ENTY,techmeth,What does the technique called  cold fusion  produce ?,Apa yang dihasilkan teknik yang disebut fusi dingin?
249,NUM,temp,What is the temperature today ?,Bagaimana suhu hari ini?
250,NUM,temp,What 's the Fahrenheit equivalent of zero degrees centigrade ?,Apa yang setara dengan Fahrenheit nol derajat celcius?
251,ENTY,termeq,What is the name for clouds that produce rain ?,Apa nama untuk awan yang menghasilkan hujan?
252,ENTY,termeq,What is another name for nearsightedness ?,Apa nama lain untuk rabun jauh?
253,ENTY,termeq,What does caliente translate to in English ?,Apa terjemahan caliente dalam bahasa Inggris?
254,HUM,title,What does Robin Williams do ?,Apa yang dilakukan Robin Williams?
255,HUM,title,What is Steve Rogers 's profession when he 's not Captain America ?,Apa profesi Steve Rogers ketika dia bukan Kapten Amerika?
256,HUM,title,What does Nicholas Cage do for a living ?,Apa yang dilakukan Nicholas Cage untuk hidup?
257,ENTY,veh,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?,Apa nama kapal perang Angkatan Laut AS dalam film The Sand Pebbles?
258,ENTY,veh,What kind of rocket launched the Surveyor spacecraft ?,Roket macam apa yang meluncurkan pesawat ruang angkasa Surveyor?
259,ENTY,veh,"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?",Apa kapal selam Rusia bertenaga nuklir yang tenggelam di Laut Norwegia pada 7 April 1989?
260,NUM,volsize,How big is a normal size penis for a 15-year-old ?,Seberapa besar ukuran penis normal untuk anak berusia 15 tahun?
261,NUM,volsize,How big is a baby bald eagle ?,Seberapa besar bayi elang botak?
262,NUM,weight,How much does a poodle weigh ?,Berapa berat pudel?
263,NUM,weight,Approximately how much does a teaspoon of matter weigh in a black hole ?,Kira-kira berapa berat satu sendok teh materi di dalam lubang hitam?
