coarse,fine,english,indo
LOC,country,What two countries fought the Hundred Years ' War ?,Apa dua negara yang bertempur dalam Perang Seratus Tahun?
LOC,country,Which country is known as  Big Bear  ?,Negara mana yang dikenal sebagai Big Bear?
LOC,country,What country offered Albert Einstein its presidency in 1952 ?,Negara apa yang menawarkan Albert Einstein sebagai presiden pada tahun 1952?
LOC,country,What country has the most coastline ?,Negara mana yang memiliki garis pantai paling banyak?
LOC,country,What 's the most powerful country in the world ?,Apa negara paling kuat di dunia?
ENTY,cremat,What is the Jewish bible called ?,Apa sebutan kitab suci Yahudi?
ENTY,cremat,What was the first video ever made ?,Apa video pertama yang pernah dibuat?
ENTY,cremat,What 1927 silent film received an international revival in 1981 ?,Apa film bisu tahun 1927 yang menerima kebangkitan internasional pada tahun 1981?
ENTY,cremat,What film featured a snarly character named Kid Shelleen ?,Film apa yang menampilkan karakter garang bernama Kid Shelleen?
ENTY,cremat,What was Jimmy Durante 's theme song ?,Apa lagu tema Jimmy Durante?
ENTY,cremat,What films featured the character Popeye Doyle ?,Film apa yang menampilkan karakter Popeye Doyle?
ENTY,cremat,What is a movie that Kevin Costner made about Sioux Indians ?,Apa film yang dibuat Kevin Costner tentang Sioux Indians?
ENTY,currency,What currency is used in Australia ?,Mata uang apa yang digunakan di Australia?
NUM,date,When is the Tulip Festival in Michigan ?,Kapan Festival Tulip di Michigan?
NUM,date,When did Jaco Pastorius die ?,Kapan Jaco Pastorius mati?
NUM,date,The Iraqis launched their attack on Kuwait on what day ?,Rakyat Irak melancarkan serangan mereka ke Kuwait pada hari apa?
NUM,date,What year did Charles Dicken die ?,Tahun berapa Charles Dicken mati?
NUM,date,When did Muhammad live ?,Kapan Muhammad hidup?
NUM,date,When was the Bill of Rights ratified ?,Kapan Bill of Rights disahkan?
NUM,date,What day was Pearl Harbor attacked in 1942 ?,Hari apa Pearl Harbor diserang pada tahun 1942?
NUM,date,When was the Berlin Wall erected ?,Kapan Tembok Berlin didirikan?
NUM,date,When was cigarette advertising banned on television and radio ?,Kapan iklan rokok dilarang di televisi dan radio?
NUM,date,When did French revolutionaries storm the Bastille ?,Kapan kaum revolusioner Prancis menyerbu Bastille?
DESC,def,How is thalassemia defined ?,Bagaimana thalassemia didefinisikan?
DESC,def,What is gymnophobia ?,Apa itu gymnophobia?
DESC,def,What is pasta ?,Apa itu pasta?
DESC,def,What are the seven virtues ?,Apa tujuh kebajikan itu?
DESC,def,What is Nitrox diving ?,Apa itu menyelam Nitrox?
DESC,def,What is Head Start ?,Apa itu Head Start?
DESC,def,What is ethology ?,Apa itu etologi?
DESC,def,What 's the meaning of UOL ?,Apa arti dari UOL?
DESC,def,What is a neurosurgeon ?,Apa itu ahli bedah saraf?
DESC,def,What is meant by the term  yield to maturity  in reference to bonds ?,Apa yang dimaksud dengan istilah yield to maturity mengacu pada obligasi?
DESC,def,What does storm wave mean in Japanese ?,Apa arti gelombang badai dalam bahasa Jepang?
DESC,desc,What 's the difference between sleet and freezing rain ?,Apa perbedaan antara hujan es dan hujan beku?
DESC,desc,What are you hearing when you put a seashell to your ear ?,Apa yang Anda dengar saat menaruh kerang di telinga?
DESC,desc,Where do chihuahuas come from ?,Dari mana chihuahua berasal?
DESC,desc,What did John F. Kennedy consider his greatest blunder in office ?,Apa yang John F. Kennedy anggap sebagai kesalahan terbesarnya di kantor?
DESC,desc,What is the song Stairway to Heaven by Led Zeppelin about ?,Tentang apakah lagu Stairway to Heaven oleh Led Zeppelin?
DESC,desc,What happens when a body part falls asleep ?,Apa yang terjadi ketika bagian tubuh tertidur?
DESC,desc,What 's the last line of Dickens 's A Christmas Carol ?,Apa baris terakhir dari Dickens's A Christmas Carol?
DESC,desc,What is the secret of the universe ?,Apa rahasia alam semesta?
DESC,desc,What are the requirements for becoming a citizen of Australia ?,Apa persyaratan untuk menjadi warga negara Australia?
DESC,desc,What ever happened to the once popular Yale Lock Company ?,Apa yang terjadi dengan Yale Lock Company yang dulu populer?
DESC,desc,What is the difference between college and graduate school ?,Apa perbedaan antara sekolah tinggi dan sekolah pascasarjana?
HUM,desc,Who is Imam Hussain Ben Ali whom Shia people believe in ?,Siapakah Imam Hussain Ben Ali yang dipercaya orang-orang Syiah?
HUM,desc,Who is Samuel F. Pickering ?,Siapakah Samuel F. Pickering?
HUM,desc,Who is Edmund Kemper ?,Siapakah Edmund Kemper?
HUM,desc,Who was Ezra Taft Benson ?,Siapa Ezra Taft Benson?
ENTY,dismed,What is a fear of gravity ?,Apa itu ketakutan akan gravitasi?
ENTY,dismed,What chemical in red wine is good for the heart and what exactly does it do to your body ?,Zat kimia apa dalam anggur merah yang baik untuk jantung dan apa pengaruhnya bagi tubuh Anda?
ENTY,dismed,What is a fear of jealousy ?,Apa itu ketakutan akan kecemburuan?
ENTY,dismed,What is a fear of bees ?,Apa itu takut akan lebah?
ENTY,dismed,What is a fear of cold ?,Apa itu ketakutan akan dingin?
ENTY,dismed,What 's the most common non-contagious disease in the world ?,Apa penyakit tidak menular yang paling umum di dunia?
NUM,dist,What is the length of border between the Ukraine and Russia ?,Berapa panjang perbatasan antara Ukraina dan Rusia?
NUM,dist,How tall is kilamanjaro ?,Berapa tinggi kilamanjaro?
NUM,dist,How far do you have to run if you hit a home run ?,Seberapa jauh Anda harus berlari jika mencapai home run?
ENTY,event,What was the name of the Protestant revolt against the supremacy of the Pope ?,Apa nama pemberontakan Protestan melawan supremasi Paus?
ENTY,event,What war did the Wanna-Go-Home Riots occur after ?,Perang apa yang terjadi setelah Kerusuhan Wanna-Go-Home?
ENTY,event,In what war was the first submarine used ?,Dalam perang apa kapal selam pertama digunakan?
ENTY,event,What historical event happened in Dogtown in 1899 ?,Peristiwa bersejarah apa yang terjadi di Dogtown pada tahun 1899?
ABBR,exp,What does the abbreviation IOC stand for ?,Untuk apa singkatan IOC?
ABBR,exp,What does the word LASER mean ?,Apa arti kata LASER?
ENTY,food,What do flatfish eat ?,Apa yang dimakan flatfish?
ENTY,food,What non-alcoholic syrup is made from pomegranate juice ?,Sirup non-alkohol apa yang terbuat dari jus delima?
ENTY,food,What were the first frozen foods ?,Apa makanan beku pertama?
ENTY,food,What 's the Southern dish made of pigs ' small intestines ?,Apa hidangan Selatan yang terbuat dari usus kecil babi?
ENTY,food,What is the most radioactive food ?,Apa makanan yang paling radioaktif?
ENTY,food,What is the most heavily caffeinated soft drink ?,Apa minuman ringan berkafein paling banyak?
HUM,gr,"Who provides telephone service in Orange County , California ?","Siapa yang menyediakan layanan telepon di Orange County, California?"
HUM,gr,What businesses in Alaska were affected by the Exxon Valdez oil spill ?,Bisnis apa di Alaska yang terkena dampak tumpahan minyak Exxon Valdez?
HUM,gr,What company produces Spumante ?,Perusahaan apa yang memproduksi Spumante?
HUM,gr,Who made the first airplane ?,Siapa yang membuat pesawat terbang pertama?
HUM,gr,"What company started out making pies , and wound up manufacturing plastic throwing toys ?","Perusahaan apa yang mulai membuat pai, dan akhirnya memproduksi mainan plastik yang dibuang?"
HUM,gr,What rock group raised a ruckus at the White House by singing American Woman ?,Kelompok rock apa yang menimbulkan keributan di Gedung Putih dengan menyanyikan American Woman?
HUM,gr,What are the top 10 colleges in the United States in the field of engineering ?,Apa saja 10 perguruan tinggi terbaik di Amerika Serikat di bidang teknik?
HUM,gr,What international organization was founded by Clara Barton ?,Organisasi internasional apa yang didirikan oleh Clara Barton?
HUM,gr,What are the five most popular Usenet groups ?,Apa lima kelompok Usenet paling populer?
HUM,ind,What was the nickname of German flying ace Manfred von Richthofen ?,Apa julukan dari manfred terbang Jerman Manfred von Richthofen?
HUM,ind,Who wrote ` The Pines of Rome ' ?,Siapa yang menulis `The Pines of Rome '?
HUM,ind,What is Drew Barrymore 's middle name ?,Apa nama tengah Drew Barrymore?
HUM,ind,Who directed Citizen Kane ?,Siapa yang mengarahkan Citizen Kane?
HUM,ind,What well-known actor is the father of star Alan Alda ?,Apa aktor terkenal adalah bapak bintang Alan Alda?
HUM,ind,Who was the founding member of the Pink Floyd band ?,Siapa anggota pendiri band Pink Floyd?
HUM,ind,Which Bloom County resident wreaks havoc with a computer ?,Warga Bloom County mana yang menimbulkan kekacauan dengan komputer?
HUM,ind,Who made a boat out of gopher wood ?,Siapa yang membuat perahu dari kayu gopher?
HUM,ind,What is Supergirl 's secret identity ?,Apa identitas rahasia Supergirl?
HUM,ind,Who won World War II ?,Siapa yang memenangkan Perang Dunia II?
HUM,ind,Who is the premier of China ?,Siapa perdana menteri Tiongkok?
HUM,ind,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,Siapa yang mengajari Matt Murdock untuk menggunakan kemampuannya yang luar biasa dalam komik Marvel?
HUM,ind,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,Siapakah ahli matematika yang memenangkan Hadiah Nobel untuk Sastra pada tahun 1950?
HUM,ind,What Italian leader had a lifelong fear of the evil eye ?,Apa pemimpin Italia yang memiliki ketakutan seumur hidup terhadap mata jahat?
HUM,ind,Who is the actress Bette Davis once said she wished she looked like ?,Siapakah aktris Bette Davis pernah berkata dia berharap dia terlihat seperti?
HUM,ind,Who is Snoopy 's arch-enemy ?,Siapa musuh bebuyutan Snoopy?
HUM,ind,What actor first portrayed James Bond ?,Aktor apa yang pertama kali memerankan James Bond?
HUM,ind,What was the name of the lawyer who represented Randy Steven Craft ?,Siapa nama pengacara yang mewakili Randy Steven Craft?
HUM,ind,What is her husband 's name ?,Siapa nama suaminya?
HUM,ind,What is the last name of Lucy and Linus from the Peanut 's comic strip ?,Apa nama belakang Lucy dan Linus dari komik strip Peanut?
HUM,ind,What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?,Jenderal Perang Sipil apa yang mendatangkan malapetaka di selatan dengan berbaris melalui Georgia dalam perjalanan ke laut?
HUM,ind,What jockey won 17 Triple Crown races ?,Joki apa yang memenangkan 17 balapan Triple Crown?
HUM,ind,Which Doonesbury character was likely to turn into a werewolf ?,Karakter Doonesbury mana yang cenderung berubah menjadi manusia serigala?
HUM,ind,Who created Dennis the Menace ?,Siapa yang menciptakan Dennis the Menace?
HUM,ind,Who made the first surfboard ?,Siapa yang membuat papan selancar pertama?
HUM,ind,What 1920s cowboy star rode Tony the Wonder Horse ?,Apa bintang koboi tahun 1920-an mengendarai Tony the Wonder Horse?
HUM,ind,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,Pendahuluan komposer Rusia apa di C Sharp Minor memberinya ketenaran dan kekayaan?
HUM,ind,What was Marilyn Monroe 's real name ?,Siapa nama asli Marilyn Monroe?
HUM,ind,What are the names of Jack 's original roommates on Three 's Company ?,Apa nama teman sekamar asli Jack di Three's Company?
HUM,ind,"What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?","Apa identitas yang lebih dikenal dari John Merrick, ogre bangsawan Inggris Victoria?"
ENTY,instru,What do West Indian steel bands use as instruments ?,Apa yang digunakan band baja India Barat sebagai instrumen?
ENTY,instru,Musician Ray Charles plays what instrument ?,Musisi Ray Charles memainkan alat musik apa?
ENTY,lang,What language is mostly spoken in Brazil ?,Bahasa apa yang paling banyak digunakan di Brasil?
ENTY,lang,What are the two languages of Malta ?,Apa dua bahasa Malta?
ENTY,letter,What letter adorns the flag of Rwanda ?,Surat apa yang menghiasi bendera Rwanda?
ENTY,letter,What letter is to the right of K on a typewriter keyboard ?,Apa huruf di sebelah kanan K pada keyboard mesin tik?
DESC,manner,How do you pronounce  Tzimisce  ?,Bagaimana Anda mengucapkan Tzimisce?
DESC,manner,How do I install a tile floor ?,Bagaimana cara memasang lantai ubin?
DESC,manner,How is the element strontium purified ?,Bagaimana elemen strontium dimurnikan?
DESC,manner,How can you be happy ?,Bagaimana kamu bisa bahagia?
DESC,manner,How can I find a phone number of someone if I only know their email address ?,Bagaimana saya bisa menemukan nomor telepon seseorang jika saya hanya tahu alamat emailnya?
DESC,manner,How do you reference a website ?,Bagaimana Anda mereferensikan situs web?
DESC,manner,How do you clean up a cache ?,Bagaimana Anda membersihkan cache?
DESC,manner,How you can raise your IQ ?,Bagaimana Anda bisa meningkatkan IQ Anda?
DESC,manner,How can anyone tell if a female had sexual intercourse ?,Bagaimana orang bisa tahu jika seorang wanita melakukan hubungan seksual?
DESC,manner,How do I get another city 's newspaper ?,Bagaimana saya mendapatkan koran kota lain?
DESC,manner,How is the election of a new Pope announced to the world ?,Bagaimana pemilihan Paus baru diumumkan ke dunia?
NUM,money,How much was the minimum wage in 1991 ?,Berapa upah minimum pada tahun 1991?
NUM,money,What is the exchange rate between England and the U.S. ?,Berapa nilai tukar antara Inggris dan AS?
NUM,money,How much could you rent a Volkswagen bug for in 1966 ?,Berapa harga sewa bug Volkswagen pada tahun 1966?
NUM,money,How much can a person be fined for having a dog on a beach ?,Berapa banyak yang dapat didenda karena memiliki anjing di pantai?
NUM,money,How much do drugs to treat tuberculosis cost ?,Berapa harga obat untuk mengobati TBC?
LOC,mount,What mountain range extends from the Gulf of St. Lawrence to Alabama ?,Pegunungan apa yang membentang dari Teluk St. Lawrence ke Alabama?
LOC,mount,What mountains lie between the Arkansas and Missouri rivers ?,Gunung apa yang terletak di antara sungai Arkansas dan Missouri?
LOC,mount,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,Apa punggungan Rocky Mountain memisahkan sungai-sungai Amerika Utara yang mengalir ke timur dan ke barat?
NUM,ord,Where does the U.S. rank among world countries in area ?,Berapa peringkat AS di antara negara-negara dunia dalam bidang ini?
ENTY,other,What is the lowest level of the American judiciary ?,Apa tingkat terendah peradilan Amerika?
ENTY,other,What does it take to become a lawyer ?,Apa yang diperlukan untuk menjadi pengacara?
ENTY,other,What were first used by John L. Sullivan and James J. Corbett in 1892 ?,Apa yang pertama kali digunakan oleh John L. Sullivan dan James J. Corbett pada tahun 1892?
ENTY,other,What must be exceeded to produce a sonic boom ?,Apa yang harus dilampaui untuk menghasilkan ledakan sonik?
ENTY,other,What did Esquire name Ash Hole of the Year for 1980 ?,Apa nama Esquire Ash Hole of the Year untuk 1980?
ENTY,other,What turns blue litmus paper red ?,Apa yang mengubah kertas lakmus biru menjadi merah?
ENTY,other,What does a heliologist study ?,Apa yang dipelajari oleh seorang heliologis?
LOC,other,"Where was the Ligurian Republic , 1797-185 , ?","Di mana Republik Liguria, 1797-185,?"
LOC,other,Where can I find a person 's address from a telephone number ?,Di mana saya dapat menemukan alamat seseorang dari nomor telepon?
LOC,other,Where is Procter & Gamble based in the U.S. ?,Di mana Procter & Gamble berbasis di AS?
LOC,other,Where is the Abominable Snowman said to wander ?,Di mana Snowman yang keji itu dikatakan berkeliaran?
LOC,other,Where did Woodstock take place ?,Di mana Woodstock berlangsung?
LOC,other,Where does the Santa Fe Trail begin and end ?,Di mana jejak Santa Fe dimulai dan berakhir?
LOC,other,What stadium do the Miami Dolphins play their home games in ?,Di stadium apa Miami Dolphins memainkan pertandingan kandang mereka?
LOC,other,What is the deepest area of the Arctic Ocean ?,Apa area terdalam Samudra Arktik?
LOC,other,What is the best hospital for orthopedics in the country ?,Apa rumah sakit terbaik untuk ortopedi di negara ini?
LOC,other,Where can I find a review of Nightmare on Elm Street in a film journal ?,Di mana saya dapat menemukan ulasan Nightmare on Elm Street dalam jurnal film?
LOC,other,What 's the name of the temple that is located near the capital city of Laos ?,Apa nama candi yang terletak di dekat ibu kota Laos?
LOC,other,What attracts tourists to Reims ?,Apa yang menarik wisatawan ke Reims?
LOC,other,Where 's the 19th hole on a golf course ?,Di mana lubang ke 19 di lapangan golf?
LOC,other,Where are the 49 steps ?,Di mana 49 langkah itu?
LOC,other,What are the world 's four oceans ?,Apa empat samudera di dunia?
LOC,other,Where is Tornado Alley ?,Di mana Tornado Alley?
LOC,other,Where is Basque country located ?,Di mana negara Basque berada?
LOC,other,Where does chocolate come from ?,Dari mana datangnya cokelat?
LOC,other,Where can I get mailing lists ?,Di mana saya bisa mendapatkan milis?
LOC,other,Where can I find the best free evidence for debate about Russia ?,Di mana saya dapat menemukan bukti gratis terbaik untuk debat tentang Rusia?
LOC,other,What is the longest place name in the U.S. ?,Apa nama tempat terpanjang di AS?
NUM,other,What is the average hourly rate of American workers ?,Berapa tingkat rata-rata pekerja Amerika per jam?
NUM,other,What was Einstein 's IQ ?,Berapa IQ Einstein?
NUM,other,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,Berapa jumlah tentara Amerika yang belum diketahui akibat perang Vietnam?
NUM,perc,What is the Pennsylvania state income tax rate ?,Berapa tarif pajak penghasilan negara bagian Pennsylvania?
NUM,perc,What are the odds of giving birth to twins ?,Apa peluang melahirkan anak kembar?
NUM,perc,What percent liked Thatcher after she had been in power for a decade ?,Berapa persen yang menyukai Thatcher setelah ia berkuasa selama satu dekade?
NUM,period,How long does it take for your body to restore blood after you donate your blood ?,Berapa lama bagi tubuh Anda untuk memulihkan darah setelah Anda menyumbangkan darah Anda?
NUM,period,What is the average time it takes for a male to ejaculate ?,Berapa lama rata-rata yang dibutuhkan seorang pria untuk berejakulasi?
NUM,period,How long after intercourse does it take to find out if you are pregnant ?,Berapa lama setelah melakukan hubungan seks untuk mengetahui apakah Anda hamil?
NUM,period,How old is the Italian artist Maurizio Pellegrin ?,Berapa umur artis Italia Maurizio Pellegrin?
ENTY,plant,What is state tree of Nebraska ?,Apa pohon negara Nebraska?
ENTY,plant,What are some of Australia 's native flora ?,Apa saja flora asli Australia?
ENTY,product,What kind of hat does Bat Masterson wear ?,Topi seperti apa yang dikenakan Bat Masterson?
ENTY,product,What was the name of the computer in ` 2001 : A Space Odyssey ' ?,Apa nama komputer di `2001: A Space Odyssey '?
ENTY,product,"What product 's ads claim that it  eliminates odors , kills household germs , mold , and mildew  ?","Iklan produk apa yang mengklaim menghilangkan bau, membunuh kuman, jamur, dan jamur rumah tangga?"
ENTY,product,What toy can you make sleep ?,Mainan apa yang bisa membuatmu tidur?
DESC,reason,What were the causes of the Civil War ?,Apa penyebab Perang Saudara?
DESC,reason,Why do some people have two different color eyes ?,Mengapa beberapa orang memiliki dua mata warna yang berbeda?
DESC,reason,"What was the claim to fame of Explorer I , launched February 1 , 1958 ?","Apa klaim ketenaran dari Explorer I, yang diluncurkan 1 Februari 1958?"
DESC,reason,What made Jane Goodall famous ?,Apa yang membuat Jane Goodall terkenal?
DESC,reason,Why can 't ostriches fly ?,Mengapa burung unta tidak bisa terbang?
DESC,reason,Why are there 12 people on a jury in criminal cases ?,Mengapa ada 12 orang yang menjadi juri dalam kasus kriminal?
DESC,reason,What causes a person to have constantly sweaty hands and feet ?,Apa yang menyebabkan seseorang memiliki tangan dan kaki yang selalu berkeringat?
DESC,reason,What causes tuberculosis ?,Apa yang menyebabkan TBC?
DESC,reason,Why do horseshoes bring luck ?,Mengapa sepatu kuda membawa keberuntungan?
DESC,reason,Why is Microsoft 's Windows 3 software so successful ?,Mengapa perangkat lunak Microsoft Windows 3 begitu sukses?
DESC,reason,What makes you fat ?,Apa yang membuatmu gemuk?
ENTY,religion,What two major world religions began in India ?,Dua agama besar dunia apa yang dimulai di India?
NUM,speed,What is the speed of the Mississippi River ?,Berapa kecepatan Sungai Mississippi?
NUM,speed,How fast can a Corvette go ?,Seberapa cepat Corvette dapat beroperasi?
ENTY,sport,What is the name of the game that Garry Kasparov plays ?,Apa nama permainan yang dimainkan Garry Kasparov?
ENTY,sport,What international amateur sports spectacle was first telecast in 1956 ?,Apa tontonan olahraga amatir internasional yang ditayangkan pertama kali pada tahun 1956?
ENTY,sport,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,Apa permainan yang dimainkan Steve McQueen dan Edward G. Robinson di The Cincinnati Kid?
ENTY,sport,Garry Kasparov plays what game ?,Garry Kasparov memainkan game apa?
LOC,state,What state 's home to the Buffalo Bill Historical Center ?,Negara bagian mana yang menjadi pusat Pusat Sejarah Buffalo Bill?
LOC,state,What states do not have state income tax ?,Negara mana yang tidak memiliki pajak penghasilan negara?
LOC,state,What U.S. state ends with a G ?,Apa negara bagian AS berakhir dengan G?
ENTY,substance,What harmful chemicals are in bug spray ?,Bahan kimia berbahaya apa yang ada dalam semprotan serangga?
ENTY,substance,What 's the second-lightest element ?,Apa elemen teringan kedua?
ENTY,substance,"What molecules include fluorine , sodium and magnesium ?","Molekul apa yang termasuk fluor, natrium dan magnesium?"
ENTY,substance,What 's the world 's most common compound ?,Apa senyawa paling umum di dunia?
ENTY,symbol,What is the trademark of a Washington Redskin 's fan ?,Apa merek dagang dari penggemar Washington Redskin?
ENTY,symbol,What was the distinguishing mark on the  Little Rascals  dog ?,Apa tanda yang membedakan pada anjing Little Rascals?
ENTY,techmeth,What are the various ways in which one can measure IT User Satisfaction Level ?,Apa saja cara di mana seseorang dapat mengukur Tingkat Kepuasan Pengguna TI?
ENTY,techmeth,Name a technique widely used to detect birth defects ?,Sebutkan teknik yang banyak digunakan untuk mendeteksi cacat lahir?
ENTY,techmeth,What does the technique called  cold fusion  produce ?,Apa yang dihasilkan teknik yang disebut fusi dingin?
NUM,temp,What is the temperature today ?,Bagaimana suhu hari ini?
NUM,temp,What 's the Fahrenheit equivalent of zero degrees centigrade ?,Apa yang setara dengan Fahrenheit nol derajat celcius?
ENTY,termeq,What is the name for clouds that produce rain ?,Apa nama untuk awan yang menghasilkan hujan?
ENTY,termeq,What is another name for nearsightedness ?,Apa nama lain untuk rabun jauh?
ENTY,termeq,What does caliente translate to in English ?,Apa terjemahan caliente dalam bahasa Inggris?
HUM,title,What does Robin Williams do ?,Apa yang dilakukan Robin Williams?
HUM,title,What is Steve Rogers 's profession when he 's not Captain America ?,Apa profesi Steve Rogers ketika dia bukan Kapten Amerika?
HUM,title,What does Nicholas Cage do for a living ?,Apa yang dilakukan Nicholas Cage untuk hidup?
ENTY,veh,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?,Apa nama kapal perang Angkatan Laut AS dalam film The Sand Pebbles?
ENTY,veh,What kind of rocket launched the Surveyor spacecraft ?,Roket macam apa yang meluncurkan pesawat ruang angkasa Surveyor?
ENTY,veh,"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?",Apa kapal selam Rusia bertenaga nuklir yang tenggelam di Laut Norwegia pada 7 April 1989?
NUM,volsize,How big is a normal size penis for a 15-year-old ?,Seberapa besar ukuran penis normal untuk anak berusia 15 tahun?
NUM,volsize,How big is a baby bald eagle ?,Seberapa besar bayi elang botak?
NUM,weight,How much does a poodle weigh ?,Berapa berat pudel?
NUM,weight,Approximately how much does a teaspoon of matter weigh in a black hole ?,Kira-kira berapa berat satu sendok teh materi di dalam lubang hitam?
ENTY,word,What is the longest word in the English language ?,Apa kata terpanjang dalam bahasa Inggris?
ENTY,word,What 's the Hungarian word for pepper ?,Apa kata Hongaria untuk lada?
ENTY,word,What is the longest English word that can be formed using just the first row of letters on a typewriter ?,Apa kata bahasa Inggris terpanjang yang dapat dibentuk hanya dengan menggunakan baris pertama huruf pada mesin tik?
ABBR,abb,What is the abbreviation of the company name ` General Motors ' ?,Apa singkatan dari nama perusahaan `General Motors '?
ABBR,abb,What 's the abbreviation for trinitrotoluene ?,Apa singkatan dari trinitrotoluene?
ENTY,animal,What is the West Virginia state animal ?,Apa binatang negara bagian Virginia Barat?
ENTY,animal,What is the fastest fish in the world ?,Apa ikan tercepat di dunia?
ENTY,animal,What creature scares people in the film  Jaws  ?,Makhluk apa yang membuat orang takut pada film Jaws?
ENTY,animal,"Which mammal lives , breeds , eats , and sleeps underground ?","Mamalia yang hidup, berkembang biak, makan, dan tidur di bawah tanah?"
ENTY,animal,Who were John F. Kennedy 's dogs ?,Siapa anjing John F. Kennedy?
