coarse,fine,english,indo
NUM,dist,How high must a mountain be to be called a mountain ?,Berapa tinggi gunung yang harus disebut gunung?
NUM,dist,How deep is a fathom ?,Seberapa dalam fathom?
NUM,dist,How long were Tyrannosaurus Rex 's teeth ?,Berapa panjang gigi Tyrannosaurus Rex?
NUM,dist,How far is Yaroslavl from Moscow ?,Seberapa jauh Yaroslavl dari Moskow?
ENTY,event,What is the name of the American literary era that includes 1896 ?,Apa nama era sastra Amerika yang mencakup 1896?
ENTY,event,"What feud ended with a marriage in Kentucky on March 21 , 1891 ?",Pertikaian apa yang berakhir dengan pernikahan di Kentucky pada 21 Maret 1891?
ENTY,event,The trials resulting from World War II are known as what ?,Percobaan yang dihasilkan dari Perang Dunia II dikenal sebagai apa?
ENTY,event,What tragedy befell the city of Dogtown in 1899 ?,Tragedi apa yang menimpa kota Dogtown pada tahun 1899?
ABBR,exp,CNN is the abbreviation for what ?,CNN adalah singkatan untuk apa?
ABBR,exp,What does the channel ESPN stand for ?,Untuk apa saluran ESPN berdiri?
ENTY,food,What 's the main vegetable in vichyssoise ?,Apa sayuran utama di vichyssoise?
ENTY,food,What nutrients are for healthy bones and teeth ?,Apa nutrisi untuk tulang dan gigi yang sehat?
ENTY,food,What do you get by adding Lactobacillus bulgaricus to milk ?,Apa yang Anda dapatkan dengan menambahkan Lactobacillus bulgaricus ke dalam susu?
ENTY,food,What was the food of the Greek gods called ?,Disebut apakah makanan dewa-dewa Yunani itu?
ENTY,food,What cocktail do you concoct with whisky and sweet vermouth ?,Koktail apa yang Anda buat dengan wiski dan vermouth manis?
ENTY,food,What did brontosauruses eat ?,Apa yang dimakan brontosaurus?
HUM,gr,Which police department made the largest cocaine seizure ever in Ventura County ?,Departemen kepolisian mana yang membuat penyitaan kokain terbesar di Kabupaten Ventura?
HUM,gr,What company has built more than 2.5 billion little green houses since 1935 ?,"Perusahaan apa yang telah membangun lebih dari 2,5 miliar rumah kaca kecil sejak 1935?"
HUM,gr,Rotary engine cars were made by what company ?,Mobil mesin rotary dibuat oleh perusahaan apa?
HUM,gr,What record company was formed by Herb Alpert and Jerry Moss ?,Perusahaan rekaman apa yang dibentuk oleh Herb Alpert dan Jerry Moss?
HUM,gr,What army was founded by William Booth and his wife Catherine ?,Tentara apa yang didirikan oleh William Booth dan istrinya Catherine?
HUM,gr,What are the major companies that are part of Dow Jones ?,Apa saja perusahaan besar yang merupakan bagian dari Dow Jones?
HUM,gr,Who are cartoondom 's Super Six ?,Siapa Super Six cartoondom?
HUM,gr,What radio station did Paul Harvey work for ?,Apa stasiun radio tempat Paul Harvey bekerja?
HUM,gr,What major league baseball team compiled the best won-lost record between 1957 and 1983 ?,Apa tim bisbol liga utama yang menyusun rekor menang-kalah terbaik antara 1957 dan 1983?
HUM,ind,Who was Secretary of State during the Nixon administration ?,Siapakah Sekretaris Negara selama pemerintahan Nixon?
HUM,ind,What actor learned to play the saxophone and speak Russian for a role in a movie ?,Aktor apa yang belajar memainkan saksofon dan berbicara bahasa Rusia untuk peran dalam sebuah film?
HUM,ind,Who was the conservationist who served as spokesperson for Post Grape Nuts ?,Siapa konservasionis yang bertindak sebagai juru bicara Kacang Pasca Grape?
HUM,ind,Who shoplifts ?,Siapa yang mengutil?
HUM,ind,Who is the sexiest women in the world ?,Siapa wanita paling seksi di dunia?
HUM,ind,Who invented the radio ?,Siapa yang menemukan radio?
HUM,ind,Who wrote ` Hamlet ' ?,Siapa yang menulis `Hamlet '?
HUM,ind,Who was Shakespeare 's Moorish general ?,Siapa jenderal Moor Shakespeare?
HUM,ind,Who sings Angel Eyes from the 80 's ?,Siapa yang menyanyikan Angel Eyes dari tahun 80-an?
HUM,ind,Who was the first king of England ?,Siapa raja pertama Inggris?
HUM,ind,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,Bagian apa yang dimainkan John Peter Zenger di deveopment koran di Amerika?
HUM,ind,"What U.S. vice-president once declared :  If you 've seen one slum , you 've seen them all  ?","Apa yang pernah dinyatakan oleh wakil presiden AS: Jika Anda pernah melihat satu daerah kumuh, Anda telah melihat semuanya?"
HUM,ind,Who received the Will Rogers Award in 1989 ?,Siapa yang menerima Penghargaan Will Rogers pada tahun 1989?
HUM,ind,What U.S. President had brothers-in-law in the Confederate army ?,Apa Presiden AS punya saudara ipar di tentara Konfederasi?
HUM,ind,What British monarch 's lap did P.T. Barnum 's Tom Thumb sit in ?,Pangkuan raja Inggris apa yang diduduki Tom Thumb dari PT Barnum?
HUM,ind,Whose image is alleged to be on The Shroud of Turin ?,Gambar siapa yang diduga ada di The Shroud of Turin?
HUM,ind,Who was the supreme god of Germanic religion ?,Siapa tuhan tertinggi agama Jerman?
HUM,ind,Who killed Caesar ?,Siapa yang membunuh Caesar?
HUM,ind,Which classical Spanish writer said  All that glitters is not gold  ?,Penulis Spanyol klasik mana yang mengatakan Semua yang berkilau bukanlah emas?
HUM,ind,What president 's ghost is said to haunt the White House ?,Hantu presiden apa yang dikatakan menghantui Gedung Putih?
HUM,ind,Who do Herb and Tootsie live next door to ?,Kepada siapa Herb dan Tootsie tinggal bersebelahan?
HUM,ind,What father and son won the Medal of Honor ?,Ayah dan anak apa yang memenangkan Medali Kehormatan?
HUM,ind,Who said of Super Bowl III in 1969 :  We 'll win- I guarantee it  ?,Siapa bilang Super Bowl III pada tahun 1969: Kami akan menang - saya jamin itu?
HUM,ind,What well-known music personality is the father of an adopted son named Hans Christian Henderson ?,Kepribadian musik apa yang terkenal adalah ayah dari anak adopsi bernama Hans Christian Henderson?
HUM,ind,What suburban housewife and mother of three wrote The Feminine Mystique ?,Apa yang ditulis ibu rumah tangga dan ibu tiga anak pinggiran kota The Feminine Mystique?
HUM,ind,What is the name of the police officer who tried to keep order in Top Cat 's neighborhood ?,Apa nama petugas polisi yang mencoba menjaga ketertiban di lingkungan Top Cat?
HUM,ind,Who said :  The victor will never be asked if he told the truth  ?,Siapa bilang: Pemenang tidak akan pernah ditanya apakah dia mengatakan yang sebenarnya?
HUM,ind,Who 's played the most games for the New York Yankees ?,Siapa yang paling banyak memainkan permainan untuk New York Yankees?
HUM,ind,What girl 's name is  Teddy  an affectionate form of ?,Apa nama gadis itu Teddy bentuk yang penuh kasih sayang?
HUM,ind,Who created the monster in Mary Shelley 's novel Frankenstein ?,Siapa yang menciptakan monster dalam novel Mary Shelley Frankenstein?
ENTY,instru,What instrument is Ray Charles best known for playing ?,Instrumen apa yang paling dikenal untuk dimainkan oleh Charles Charles?
ENTY,instru,Ray Charles is best known for playing what instrument ?,Ray Charles terkenal karena memainkan alat musik apa?
ENTY,lang,What 's the most commonly-spoken language in Belgium ?,Bahasa apa yang paling umum digunakan di Belgia?
ENTY,lang,What are the four most widely-used languages in North America ?,Apa empat bahasa yang paling banyak digunakan di Amerika Utara?
ENTY,letter,What letter does Gorbachev 's middle name start with ?,Dengan huruf apa nama tengah Gorbachev dimulai?
ENTY,letter,What are the first and last letters of the Greek alphabet ?,Apa huruf pertama dan terakhir dari alfabet Yunani?
DESC,manner,How do birds have sex ?,Bagaimana burung berhubungan seks?
DESC,manner,How do clouds form ?,Bagaimana awan terbentuk?
DESC,manner,How do you look up criminal records on the Internet ?,Bagaimana Anda mencari catatan kriminal di Internet?
DESC,manner,How does Belle describe her life in Beauty and the Beast ?,Bagaimana Belle menggambarkan hidupnya di Beauty and the Beast?
DESC,manner,How do you select wine ?,Bagaimana Anda memilih anggur?
DESC,manner,How does salt melt ice and snow ?,Bagaimana garam mencairkan es dan salju?
DESC,manner,How can I find a list of celebrities ' real names ?,Bagaimana saya bisa menemukan daftar nama asli selebritas?
DESC,manner,How is the new Ford Econoline van F25 V1 engine ?,Bagaimana mesin Ford Econoline van F25 V1 yang baru?
DESC,manner,How do you tell somebody you like them ?,Bagaimana Anda memberi tahu seseorang bahwa Anda menyukainya?
DESC,manner,How can I find out which cities have cable-modem access ?,Bagaimana saya bisa mengetahui kota mana saja yang memiliki akses modem kabel?
DESC,manner,How does a glacier form ?,Bagaimana bentuk gletser?
NUM,money,What amount of money did the Philippine ex-dictator Marcos steal from the treasury ?,Berapa jumlah uang yang dicuri oleh mantan diktator Filipina Marcos dari perbendaharaan?
NUM,money,How much money does each player get at the beginning of the game in Monopoly ?,Berapa banyak uang yang didapat setiap pemain di awal permainan di Monopoli?
NUM,money,How much did the Iran-Contra investigation cost ?,Berapa biaya investigasi Iran-Contra?
NUM,money,"What is the per-capita income of Colombia , South America , ?","Berapa penghasilan per kapita dari Kolombia, Amerika Selatan,?"
NUM,money,How much did Alaska cost when bought from Russia ?,Berapa harga Alaska saat dibeli dari Rusia?
NUM,money,What is the starting salary of a radiographer ?,Berapa gaji awal seorang radiografer?
LOC,mount,What is the second highest mountain peak in the world ?,Apa puncak gunung tertinggi kedua di dunia?
LOC,mount,What is the world 's highest peak ?,Apa puncak tertinggi dunia?
LOC,mount,What is the name of the highest mountain in Africa ?,Apa nama gunung tertinggi di Afrika?
NUM,ord,What chapter of the Bible has the most verses ?,Surat berapa pada alkitab yang memiliki ayat terbanyak?
NUM,ord,What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?,Bab berapa pada Gone with the Wind dimana Rhett Butler meninggalkan Scarlett O 'Hara?
ENTY,other,What line divided the North and South in the U.S. Civil War ?,Garis apa yang membagi Utara dan Selatan dalam Perang Saudara AS?
ENTY,other,Which is the best opening move in chess ?,Manakah langkah pembuka terbaik dalam catur?
ENTY,other,What is Nebraska 's most valuable resource ?,Apa sumber daya Nebraska yang paling berharga?
ENTY,other,What are the 7 Wonders of the World ?,Apa 7 Keajaiban Dunia?
ENTY,other,"What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?","Apa suara bernada tinggi yang Anda dengar di telinga Anda sesekali, tetapi kemudian menghilang, setelah beberapa saat?"
ENTY,other,What was the education system in the 1960 's ?,Bagaimana sistem pendidikan di tahun 1960-an?
ENTY,other,What gender is not allowed to vote in Kuwait ?,Jenis kelamin apa yang tidak diizinkan untuk memilih di Kuwait?
LOC,other,Where can I find the names of all the 15 Pokemon ?,Di mana saya dapat menemukan nama semua 15 Pokemon?
LOC,other,What 's the sacred river of India ?,Apa sungai suci India?
LOC,other,Where is Logan Airport ?,Di mana bandara Logan?
LOC,other,What 's the tallest building in New York City ?,Apa gedung tertinggi di New York City?
LOC,other,Where can I find out the top 1 singles ?,Di mana saya dapat menemukan 1 single teratas?
LOC,other,What do we call the imaginary line along the top of the Rocky Mountains ?,Apa yang kita sebut garis imajiner di sepanjang puncak Pegunungan Rocky?
LOC,other,Where can I find pictorial directions on how to build a very simple treehouse ?,Di mana saya dapat menemukan arahan bergambar tentang cara membangun rumah pohon yang sangat sederhana?
LOC,other,What was known as the Spice Island ?,Apa yang dikenal sebagai Pulau Rempah?
LOC,other,Where is the Orinoco ?,Di mana Orinoco?
LOC,other,Where can one find Rider College ?,Di mana orang dapat menemukan Rider College?
LOC,other,What Tokyo street glitters with famed department stores and nightclubs ?,Apa Tokyo street yang berkilau dengan department store dan klub malam terkenal?
LOC,other,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?","Apa hotel Las Vegas terbakar pada November 1980, dengan hilangnya 84 nyawa?"
LOC,other,What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?,Apa landmark Metropolis pertama kali diperkenalkan dalam kartun Superman tahun 1940-an?
LOC,other,Where are all European and American eels born ?,Di mana semua belut Eropa dan Amerika lahir?
LOC,other,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,Di mana saya dapat menemukan kasus Undang-Undang Pendidikan Penyandang Cacat tahun 1991?
LOC,other,What county is Chicago in ?,Di daerah apa Chicago?
LOC,other,In What city or state do the most gay men live in ?,Di kota atau negara bagian manakah pria gay paling tinggal?
LOC,other,Where can one find Mozambique ?,Di mana orang dapat menemukan Mozambik?
LOC,other,What 's the second-largest island in the world ?,Apa pulau terbesar kedua di dunia?
LOC,other,Where do the adventures of  The Swiss Family Robinson  take place ?,Di mana petualangan The Swiss Family Robinson berlangsung?
LOC,other,Where is Procter & Gamble headquartered in the U.S. ?,Di mana Procter & Gamble berkantor pusat di AS?
NUM,other,What brand number graces the black label of a bottle of Jack Daniel 's ?,Nomor merek apa yang memberi label hitam pada sebotol Jack Daniel's?
NUM,other,What is the number of American soldiers deployed to South Korea ?,Berapa jumlah tentara Amerika yang dikerahkan ke Korea Selatan?
NUM,other,How often are quadruplets born ?,Seberapa sering kembar empat dilahirkan?
NUM,perc,What is the probability that at least 2 out of 25 people will have the same birthday ?,Berapa probabilitas bahwa setidaknya 2 dari 25 orang akan memiliki hari ulang tahun yang sama?
NUM,perc,What percentage of American men are alcoholic ?,Berapa persentase pria Amerika yang pecandu alkohol?
NUM,perc,What are the chances of pregnacy if the penis does not penetrate the vagina ?,Bagaimana kemungkinan kehamilan jika penis tidak menembus vagina?
NUM,perc,What are the highest-paying odds on a roulette table ?,Apa peluang dengan bayaran tertinggi di meja roulette?
NUM,period,How old is the sun ?,Berapa umur matahari?
NUM,period,What was the average life expectancy during the Stone Age ?,Berapa harapan hidup rata-rata selama Zaman Batu?
NUM,period,How long is human gestation ?,Berapa lama kehamilan manusia?
NUM,period,How long ago was the Roe vs. Wade decision by the Supreme Court ?,Berapa lama keputusan Roe vs Wade oleh Mahkamah Agung?
ENTY,plant,What shrubs can be planted that will be safe from deer ?,Semak apa yang bisa ditanam yang aman dari rusa?
ENTY,plant,What are two plants that clothes are made from ?,Terbuat dari dua tanaman apakah pakaian itu?
ENTY,product,What brand of white rum is still made in Cuba ?,Merek rum putih apa yang masih dibuat di Kuba?
ENTY,product,Italy is the largest producer of what ?,Italia adalah produsen terbesar apa?
ENTY,product,What is the most expensive car in the world ?,Apa mobil termahal di dunia?
ENTY,product,What car was driven in the 199 release of  Smokey and the Bandit  ?,Mobil apa yang dikendarai dalam rilis 199 Smokey dan Bandit?
DESC,reason,What is the cause of endangered species ?,Apa penyebab spesies yang terancam punah?
DESC,reason,What caused the Lynmouth floods ?,Apa yang menyebabkan banjir Lynmouth?
DESC,reason,Why did Egyptians shave their eyebrows ?,Mengapa orang Mesir mencukur alis mereka?
DESC,reason,Why are there olives in martinis ?,Mengapa ada buah zaitun di martini?
DESC,reason,What is in baby powder and baby lotion that makes it smell the way it does ?,Apa yang ada dalam bedak bayi dan lotion bayi yang membuatnya berbau seperti itu?
DESC,reason,What is the function of RAM ?,Apa fungsi RAM?
DESC,reason,What caused the death of Bob Marley ?,Apa yang menyebabkan kematian Bob Marley?
DESC,reason,How come a doughnut has a hole in it ?,Kenapa donat punya lubang di dalamnya?
DESC,reason,Why is hockey so violent ?,Mengapa hoki sangat kejam?
DESC,reason,"Why was Washington , DC originally called District of Columbia ?","Mengapa Washington, DC awalnya disebut Distrik Columbia?"
DESC,reason,What are the medical purposes of  clitoridectomy  ?,Apa tujuan medis dari klitoridektomi?
ENTY,religion,In what religion was Isis the nature goddess ?,Dalam agama apa Isis sang dewi alam?
NUM,speed,How fast do cheetahs run ?,Seberapa cepat cheetah berjalan?
NUM,speed,How fast is a 45Mhz processor ?,Seberapa cepat prosesor 45Mhz?
ENTY,sport,What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,Apa olahraga favorit The Pump House Gang milik Tom Wolfe?
ENTY,sport,What type of betting is used in horse racing ?,Jenis taruhan apa yang digunakan dalam pacuan kuda?
ENTY,sport,What are some good exercises for kids to do ?,Apa saja latihan yang baik untuk dilakukan anak-anak?
ENTY,sport,What game is Garry Kasparov really good at ?,Game apa yang benar-benar bagus untuk Garry Kasparov?
LOC,state,What U.S. state has the second-longest coastline ?,Negara bagian AS manakah yang memiliki garis pantai terpanjang kedua?
LOC,state,What are all the southern states of the United States ?,Apa semua negara bagian selatan Amerika Serikat?
LOC,state,What sprawling U.S. state boasts the most airports ?,Negara bagian AS mana yang memiliki bandara terbanyak?
ENTY,substance,What 's the most abundant element in the sun ?,Apa unsur paling melimpah di matahari?
ENTY,substance,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?","Peledak apa yang Anda dapatkan dengan mencampurkan arang, belerang dan sendawa?"
ENTY,substance,What did the ancients call the four great elements ?,Apa yang dahulu disebut empat unsur utama?
ENTY,substance,What does saliva consist of ?,Terdiri dari apa air liur itu?
ENTY,symbol,What 's the symbol for the zodiacal sign Gemini ?,Apa simbol untuk tanda zodiak Gemini?
ENTY,symbol,What sign is The Water Carrier the zodiacal symbol for ?,Untuk apa lambang Air pembawa simbol zodiak?
ENTY,symbol,What is the zodiac sign for August 14 ?,Apa tanda zodiak untuk 14 Agustus?
ENTY,techmeth,What are common methods used to regulate monopolies ?,Apa metode umum yang digunakan untuk mengatur monopoli?
ENTY,techmeth,What do sailors use to measure time ?,Apa yang digunakan pelaut untuk mengukur waktu?
ENTY,techmeth,What 's the best way to lose the flab under your chin and around your face ?,Apa cara terbaik untuk menghilangkan lemak di bawah dagu dan di sekitar wajah Anda?
NUM,temp,How hot should the oven be when baking Peachy Oat Muffins ?,Seberapa panas seharusnya oven saat memanggang Peachy Oat Muffins?
NUM,temp,How hot should the oven be when making Peachy Oat Muffins ?,Seberapa panas seharusnya oven saat membuat Peachy Oat Muffins?
ENTY,termeq,What 's the common name for a Japanese dwarf tree ?,Apa nama umum untuk pohon bonsai Jepang?
ENTY,termeq,What is the term for the sum of all genetic material in a given organism ?,Apa istilah untuk jumlah semua materi genetik dalam suatu organisme tertentu?
ENTY,termeq,The Jewish alphabet is known as what ?,Alfabet Yahudi dikenal sebagai apa?
HUM,title,"When not adventuring on Rann , what does Adam Strange call his profession ?","Ketika tidak berpetualang di Rann, apa yang Adam Strange sebut sebagai profesinya?"
HUM,title,What did Andy Hardy 's father do for a living ?,Apa yang dilakukan ayah Andy Hardy untuk mencari nafkah?
HUM,title,What is the occupation of Nicholas Cage ?,Apa pekerjaan Nicholas Cage?
ENTY,veh,What vehicles are raced in the Tour de France ?,Kendaraan apa yang melaju di Tour de France?
